Source,Target,Type,Weight
"Herwart von Hohenburg, Hans Georg, 1553-1622","Kepler, Johannes, 1571-1630",Directed,66
"Kepler, Johannes, 1571-1630","Bernegger, Matthias, 1582-1640",Directed,43
"Fabricius, David, 1564-1617","Kepler, Johannes, 1571-1630",Directed,40
"Kepler, Johannes, 1571-1630","Mästlin, Michael, 1550-1631",Directed,39
"Hebenstreit, Johann Baptist, 1580-1638","Kepler, Johannes, 1571-1630",Directed,30
"Kepler, Johannes, 1571-1630","Herwart von Hohenburg, Hans Georg, 1553-1622",Directed,30
"Mästlin, Michael, 1550-1631","Kepler, Johannes, 1571-1630",Directed,28
"Bernegger, Matthias, 1582-1640","Kepler, Johannes, 1571-1630",Directed,21
"Pape, Johann, 1558-1622","Kepler, Johannes, 1571-1630",Directed,21
"Rhodius, Ambrosius, 1577-1633","Kepler, Johannes, 1571-1630",Directed,18
"Schickard, Wilhelm, 1592-1635","Kepler, Johannes, 1571-1630",Directed,18
"Zehentmair, Colmann, fl. 1593-1600","Kepler, Johannes, 1571-1630",Directed,18
"Ursinus, Benjamin, 1587-1633","Kepler, Johannes, 1571-1630",Directed,17
"Rüttel, Friedrich, 1579-1634","Kepler, Johannes, 1571-1630",Directed,14
"Besold, Christoph, 1577-1638","Kepler, Johannes, 1571-1630",Directed,13
"Kepler, Johannes, 1571-1630","Schickard, Wilhelm, 1592-1635",Directed,13
"Vicke, Nikolaus, fl. 1605","Kepler, Johannes, 1571-1630",Directed,13
"Kepler, Johannes, 1571-1630",Unknown,Directed,12
"Kepler, Johannes, 1571-1630","Württemberg, Johann Friedrich von, 1582-1628",Directed,12
"Hafenreffer, Matthias, 1561-1619","Kepler, Johannes, 1571-1630",Directed,11
"Kepler, Johannes, 1571-1630","Guldin, Paul, 1577-1643",Directed,11
"Crusius, Florian, fl. 1609-1650","Kepler, Johannes, 1571-1630",Directed,10
"Dietrichstein, Ludwig von, 1533-1615","Kepler, Johannes, 1571-1630",Directed,10
"Horký, Martin, fl. 1610","Kepler, Johannes, 1571-1630",Directed,10
"Mingonius, Thomas, fl. 1608","Kepler, Johannes, 1571-1630",Directed,10
"Quietanus, Johannes Remus, 1588-1654","Kepler, Johannes, 1571-1630",Directed,10
"Schallenberg, Georg Christoph von, fl. 1638","Kepler, Johannes, 1571-1630",Directed,10
"Tanckius, Joachim, 1557-1609","Kepler, Johannes, 1571-1630",Directed,10
"Kepler, Johannes, 1571-1630","Fabricius, David, 1564-1617",Directed,9
"Kepler, Johannes, 1571-1630","Müller, Philip, 1585-1659",Directed,9
"Crüger, Peter, 1580-1639","Kepler, Johannes, 1571-1630",Directed,8
"Gringallet, Janus, 1591-1622","Kepler, Johannes, 1571-1630",Directed,8
"Kepler, Johannes, 1571-1630","Calvisius, Sethus, 1556-1615",Directed,8
"Kepler, Johannes, 1571-1630","Crüger, Peter, 1580-1639",Directed,8
"Kepler, Johannes, 1571-1630","Württemberg, Friedrich I von, 1557-1608",Directed,8
"Starhemberg, Erasmus von, 1575-1648","Kepler, Johannes, 1571-1630",Directed,8
"Bianchi, Vincenzo, 1583-1637","Kepler, Johannes, 1571-1630",Directed,7
"Kepler, Johannes, 1571-1630","Galilei, Galileo, 1564-1642",Directed,7
"Calvisius, Sethus, 1556-1615","Kepler, Johannes, 1571-1630",Directed,6
"Curtz, Albert, 1600-1671","Kepler, Johannes, 1571-1630",Directed,6
"Decker, Joannes, fl. 1605","Kepler, Johannes, 1571-1630",Directed,6
"Kepler, Johannes, 1571-1630","Quietanus, Johannes Remus, 1588-1654",Directed,6
"Kepler, Johannes, 1571-1630","Wallenstein, Albrecht Wenzel Eusebius von, 1583-1634",Directed,6
"Pisani, Ottavio, b.1575","Kepler, Johannes, 1571-1630",Directed,6
"Schickard, Wilhelm, 1592-1635","Bernegger, Matthias, 1582-1640",Directed,6
"Ziegler, Johannes Reinhard, 1569-1636","Kepler, Johannes, 1571-1630",Directed,6
"Brengger, Johann Georg, 1559-1637 or after","Kepler, Johannes, 1571-1630",Directed,5
"Crüger, Peter, 1580-1639","Müller, Philip, 1585-1659",Directed,5
"Hessen-Butzbach, Philipp III von, 1581-1643","Kepler, Johannes, 1571-1630",Directed,5
"Kepler, Johannes, 1571-1630","Bianchi, Vincenzo, 1583-1637",Directed,5
"Kepler, Johannes, 1571-1630","Rudolf II, 1552-1612",Directed,5
"Lansius, Thomas, 1577-1657","Kepler, Johannes, 1571-1630",Directed,5
"Taxis, Gerhard von, 1578-1654","Kepler, Johannes, 1571-1630",Directed,5
"Brahe, Tycho, 1546-1601","Kepler, Johannes, 1571-1630",Directed,4
"Eriksen, Johannes, fl. 1599-1601","Kepler, Johannes, 1571-1630",Directed,4
"Hafenreffer, Samuel, 1587-1660","Kepler, Johannes, 1571-1630",Directed,4
"Hasdale, Martin, fl. 1610","Galilei, Galileo, 1564-1642",Directed,4
"Jöstel, Melchior, 1559-1611","Kepler, Johannes, 1571-1630",Directed,4
"Kepler, Johannes, 1571-1630","Brahe, Tycho, 1546-1601",Directed,4
"Kepler, Johannes, 1571-1630","Brengger, Johann Georg, 1559-1637 or after",Directed,4
"Kepler, Johannes, 1571-1630","Magini, Giovanni Antonio, 1555-1617",Directed,4
"Kepler, Johannes, 1571-1630","Vicke, Nikolaus, fl. 1605",Directed,4
"Kepler, Johannes, 1571-1630","Wacker von Wackenfels, Joannes Matthaeus, 1550-1619",Directed,4
"Magini, Giovanni Antonio, 1555-1617","Kepler, Johannes, 1571-1630",Directed,4
"Odontius, Johann Caspar, 1580-1626","Kepler, Johannes, 1571-1630",Directed,4
"Serarius, Nicolaus, 1555-1609","Kepler, Johannes, 1571-1630",Directed,4
"Strauss, Johannes, fl. 1620","Kepler, Johannes, 1571-1630",Directed,4
"Beyer, Johann Hartmann, 1563-1625","Kepler, Johannes, 1571-1630",Directed,3
"Brahe, Tycho, 1546-1601","Hoffmann, Johannes Fridericus, fl. 1600",Directed,3
"Bruce, Edmund, fl. 1597-1605","Kepler, Johannes, 1571-1630",Directed,3
"Dornau, Caspar, 1577-1631","Kepler, Johannes, 1571-1630",Directed,3
"Eichler, Gregor, 1562-1611","Kepler, Johannes, 1571-1630",Directed,3
"Enenkel, Job Hartmann von, 1576-1627","Kepler, Johannes, 1571-1630",Directed,3
"Galilei, Galileo, 1564-1642","Kepler, Johannes, 1571-1630",Directed,3
"Gehler, Michael, fl. 1600-1620","Kepler, Johannes, 1571-1630",Directed,3
"Gerhard, Johann Konrad, b.1567","Kepler, Johannes, 1571-1630",Directed,3
"Hebenstreit, Georg, fl. 1620","Kepler, Johannes, 1571-1630",Directed,3
"Hoffmann, Johannes Fridericus, fl. 1600","Kepler, Johannes, 1571-1630",Directed,3
"Kepler, Johannes, 1571-1630","Decker, Joannes, fl. 1605",Directed,3
"Kepler, Johannes, 1571-1630","Hafenreffer, Matthias, 1561-1619",Directed,3
"Kepler, Johannes, 1571-1630","Harriot, Thomas, 1560-1621",Directed,3
"Kepler, Johannes, 1571-1630","Matthias, Holy Roman Emperor, 1557-1619",Directed,3
"Kepler, Johannes, 1571-1630","Scaliger, Joseph Justus, 1540-1609",Directed,3
"Kepler, Johannes, 1571-1630","Styria, the Government of, fl. 1597",Directed,3
"Kepler, Johannes, 1571-1630","Taxis, Gerhard von, 1578-1654",Directed,3
"Kepler, Johannes, 1571-1630","Tengnagel, Sebastian, 1573-1636",Directed,3
"Kepler, Johannes, 1571-1630","Ziegler, Johannes Reinhard, 1569-1636",Directed,3
"Longomontanus, Christian Sørensen, 1562-1647","Kepler, Johannes, 1571-1630",Directed,3
"Medici, Giuliano de', fl. 1610-1611","Galilei, Galileo, 1564-1642",Directed,3
"Müller, Johannes, fl. 1596-1602","Kepler, Johannes, 1571-1630",Directed,3
"Origanus, David, 1558-1629","Kepler, Johannes, 1571-1630",Directed,3
"Praetorius, Johannes, 1537-1616","Herwart von Hohenburg, Hans Georg, 1553-1622",Directed,3
"Riddershusius, Ludolph, fl. 1594-1603","Kepler, Johannes, 1571-1630",Directed,3
"Röslin, Helisaeus, 1545-1616","Herwart von Hohenburg, Hans Georg, 1553-1622",Directed,3
"Virdung, Paul, fl. 1603-1605","Kepler, Johannes, 1571-1630",Directed,3
"Wallenstein, Albrecht Wenzel Eusebius von, 1583-1634","Kepler, Johannes, 1571-1630",Directed,3
"Welser, Markus, 1558-1614","Kepler, Johannes, 1571-1630",Directed,3
"Anhalt-Plötzkau, August von, 1575-1653","Kepler, Johannes, 1571-1630",Directed,2
"Bachmayer, Wolfgang, 1597-1685","Kepler, Johannes, 1571-1630",Directed,2
"Barbavara, Ludovico, b.1575","Kepler, Johannes, 1571-1630",Directed,2
"Bartsch, Jakob, 1600-1633","Kepler, Johannes, 1571-1630",Directed,2
