No,Type,Date,Author,Origin,Addressee,Destination,Repositories & Versions
1,Letter,22 May 1590,"Burgermeister and Council, Weil der Stadt, fl. 1590-1591","Weil der Stadt, Baden-Württemberg, Germany","Tübingen University, formed 1477","Tübingen, Baden-Württemberg, Germany",1 version reference
2,Letter,June 1590,"Kepler, Johannes, 1571-1630","Tübingen, Baden-Württemberg, Germany","Hochmann, Johann, 1528-1603","Tübingen, Baden-Württemberg, Germany",1 version reference
3,Letter,4 November 1591,"Tübingen University, formed 1477","Tübingen, Baden-Württemberg, Germany","Burgermeister and Council, Weil der Stadt, fl. 1590-1591","Weil der Stadt, Baden-Württemberg, Germany",1 version reference
4,Letter,17 December 1591,"Burgermeister and Council, Weil der Stadt, fl. 1590-1591","Weil der Stadt, Baden-Württemberg, Germany","Tübingen University, formed 1477","Tübingen, Baden-Württemberg, Germany",1 version reference
5,Letter,27 January 1593,"Schärer, Melchior, 1563-1624","Widdern, Baden-Württemberg, Germany","Kepler, Johannes, 1571-1630","Tübingen, Baden-Württemberg, Germany",1 version reference
6,Letter,12 February 1593,"Köllin, Matthias, 1570-1612","Blaubeuren Abbey, Blaubeuren, Baden-Württemberg, Germany","Kepler, Johannes, 1571-1630","Tübingen, Baden-Württemberg, Germany",1 version reference
7,Letter,24 July 1593,"Kepler, Johannes, 1571-1630","Leonberg, Baden-Württemberg, Germany","Kepler, Sebald, fl. 1530-1593","Weil der Stadt, Baden-Württemberg, Germany",1 version reference
8,Letter,28 February 1594,"Kepler, Johannes, 1571-1630","Tübingen, Baden-Württemberg, Germany","Faculty of Theological , University of Tübingen, fl. 1594","Tübingen, Baden-Württemberg, Germany",1 version reference
9,Letter,8 April 1594,"Kepler, Johannes, 1571-1630","Graz, Styria, Austria","School Inspectors, Graz","Graz, Styria, Austria",1 version reference
10,Letter,1 August 1594,"Kepler, Johannes, 1571-1630","Graz, Styria, Austria","Styria, the Government of, fl. 1597","Styria, Austria",1 version reference
11,Letter,August 1594,"Kepler, Johannes, 1571-1630","Graz, Styria, Austria","Court Council of War, Styria, fl. 1594","Graz, Styria, Austria",1 version reference
12,Letter,August 1594,"Kepler, Johannes, 1571-1630","Graz, Styria, Austria",Unknown,,1 version reference
13,Letter,19 October 1594,"Kepler, Johannes, 1571-1630","Graz, Styria, Austria","Gerlach, Stephan, 1546-1612","Tübingen, Baden-Württemberg, Germany",1 version reference
14,Letter,14 November 1594,"Mästlin, Michael, 1550-1631","Calw, Baden-Württemberg, Germany","Kepler, Johannes, 1571-1630","Graz, Styria, Austria",1 version reference
15,Letter,14 November 1594,"Hafenreffer, Matthias, 1561-1619","Calw, Baden-Württemberg, Germany","Kepler, Johannes, 1571-1630","Graz, Styria, Austria",1 version reference
16,Letter,8 January 1595,"Kepler, Johannes, 1571-1630","Graz, Styria, Austria","Mästlin, Michael, 1550-1631","Calw, Baden-Württemberg, Germany",1 version reference
17,Letter,5 February 1595,"Mästlin, Michael, 1550-1631","Calw, Baden-Württemberg, Germany","Kepler, Johannes, 1571-1630","Graz, Styria, Austria",1 version reference
18,Letter,7 May 1595,"Kepler, Johannes, 1571-1630","Graz, Styria, Austria","Mästlin, Michael, 1550-1631","Tübingen, Baden-Württemberg, Germany",1 version reference
19,Letter,14 May 1595,"Vischses, Konrad, 1577-1607",,"Kepler, Johannes, 1571-1630","Graz, Styria, Austria",1 version reference
20,Letter,20 June 1595,"Ortholph, Christoph, b.1573","Hirsau, Baden-Württemberg, Germany","Kepler, Johannes, 1571-1630","Graz, Styria, Austria",1 version reference
21,Letter,2 August 1595,"Kepler, Johannes, 1571-1630","Graz, Styria, Austria","Mästlin, Michael, 1550-1631","Tübingen, Baden-Württemberg, Germany",1 version reference
22,Letter,14 September 1595,"Kepler, Johannes, 1571-1630","Graz, Styria, Austria","Mästlin, Michael, 1550-1631","Tübingen, Baden-Württemberg, Germany",1 version reference
23,Letter,3 October 1595,"Kepler, Johannes, 1571-1630","Graz, Styria, Austria","Mästlin, Michael, 1550-1631","Tübingen, Baden-Württemberg, Germany",1 version reference
24,Letter,20 October 1595,"Kepler, Johannes, 1571-1630","Graz, Styria, Austria","Mästlin, Michael, 1550-1631","Tübingen, Baden-Württemberg, Germany",1 version reference
25,Letter,1 November 1595,"Tschernembl, Georg Erasmus von, 1567-1626","Schwertberg, Upper Austria, Austria","Kepler, Johannes, 1571-1630","Graz, Styria, Austria",1 version reference
26,Letter,15 November 1595,"Kepler, Johannes, 1571-1630","Graz, Styria, Austria","Reimers, Nicolaus, 1551-1660","Prague, Czech Republic",1 version reference
27,Letter,13 December 1595,"Kepler, Johannes, 1571-1630","Graz, Styria, Austria","Styria, Councillors of, fl. 1595","Graz, Styria, Austria",1 version reference
28,Letter,17 February 1596,"Kepler, Johannes, 1571-1630","Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)","Württemberg, Friedrich I von, 1557-1608","Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)",1 version reference
29,Letter,27 February 1596,"Mästlin, Michael, 1550-1631","Tübingen, Baden-Württemberg, Germany","Kepler, Johannes, 1571-1630","Graz, Styria, Austria",1 version reference
30,Letter,29 February 1596,"Kepler, Johannes, 1571-1630","Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)","Württemberg, Friedrich I von, 1557-1608","Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)",1 version reference
31,Letter,12 March 1596,"Mästlin, Michael, 1550-1631","Tübingen, Baden-Württemberg, Germany","Württemberg, Friedrich I von, 1557-1608","Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)",1 version reference
32,Letter,22 March 1596,"Osiander, Lucas II, 1571-1638","Göppingen, Baden-Württemberg, Germany","Kepler, Johannes, 1571-1630","Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)",1 version reference
33,Letter,March 1596,"Kepler, Johannes, 1571-1630","Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)","Mästlin, Michael, 1550-1631","Tübingen, Baden-Württemberg, Germany",1 version reference
34,Letter,March 1596,"Kepler, Johannes, 1571-1630","Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)","Württemberg, Friedrich I von, 1557-1608","Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)",1 version reference
35,Letter,1 April 1596,"Kepler, Johannes, 1571-1630","Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)","Mästlin, Michael, 1550-1631","Tübingen, Baden-Württemberg, Germany",1 version reference
36,Letter,3 April 1596,"Kepler, Johannes, 1571-1630","Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)","Mästlin, Michael, 1550-1631","Tübingen, Baden-Württemberg, Germany",1 version reference
37,Letter,11 April 1596,"Mästlin, Michael, 1550-1631","Tübingen, Baden-Württemberg, Germany","Kepler, Johannes, 1571-1630","Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)",1 version reference
