Year,place,activity
1590,"Tübingen, Baden-Württemberg, Germany",3
1590,"Weil der Stadt, Baden-Württemberg, Germany",1
1591,"Tübingen, Baden-Württemberg, Germany",2
1591,"Weil der Stadt, Baden-Württemberg, Germany",2
1593,"Tübingen, Baden-Württemberg, Germany",2
1593,"Blaubeuren Abbey, Blaubeuren, Baden-Württemberg, Germany",1
1593,"Leonberg, Baden-Württemberg, Germany",1
1593,"Weil der Stadt, Baden-Württemberg, Germany",1
1593,"Widdern, Baden-Württemberg, Germany",1
1594,"Graz, Styria, Austria",9
1594,"Tübingen, Baden-Württemberg, Germany",3
1594,"Calw, Baden-Württemberg, Germany",2
1594,"Styria, Austria",1
1595,"Graz, Styria, Austria",13
1595,"Tübingen, Baden-Württemberg, Germany",5
1595,"Calw, Baden-Württemberg, Germany",2
1595,"Hirsau, Baden-Württemberg, Germany",1
1595,"Prague, Czech Republic",1
1595,"Schwertberg, Upper Austria, Austria",1
1596,"Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)",27
1596,"Tübingen, Baden-Württemberg, Germany",24
1596,"Graz, Styria, Austria",4
1596,"Göppingen, Baden-Württemberg, Germany",1
1597,"Graz, Styria, Austria",27
1597,"Tübingen, Baden-Württemberg, Germany",13
1597,"Munich, Bavaria, Germany",7
1597,"Haguenau, Grand Est, France",3
1597,"Padua, Veneto, Italy",2
1597,"Bruck an der Mur, Styria, Austria",1
1597,"Burgstein, Baden-Württemberg, Germany",1
1597,"Prague, Czech Republic",1
1597,"Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)",1
1597,"Wandsbek, Hamburg, Germany",1
1598,"Graz, Styria, Austria",19
1598,"Tübingen, Baden-Württemberg, Germany",11
1598,"Munich, Bavaria, Germany",8
1598,"Altdorf, Bavaria, Germany",3
1598,"Hrastnik, Hrastnik, Slovenia",2
1598,"Wandsbek, Hamburg, Germany",2
1598,"Baierdorf bei Anger, Styria, Austria",1
1598,"Jena, Thuringia, Germany",1
1598,"Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)",1
1599,"Graz, Styria, Austria",45
1599,"Munich, Bavaria, Germany",13
1599,"Hrastnik, Hrastnik, Slovenia",11
1599,"Tübingen, Baden-Württemberg, Germany",6
1599,"Ansbach, Bavaria, Germany",3
1599,Girsitz,2
1599,"Marburg, Hesse, Germany",2
1599,"Benátky nad Jizerou, Central Bohemia, Czech Republic",1
1599,"Padua, Veneto, Italy",1
1599,"Strasbourg, Grand Est, France",1
1599,"Strechau, Styria, Austria",1
1599,"Vienna, Wien, Austria",1
1599,"Wittenberg, Saxony-Anhalt, Germany",1
1600,"Graz, Styria, Austria",14
1600,"Prague, Czech Republic",14
1600,"Benátky nad Jizerou, Central Bohemia, Czech Republic",11
1600,"Munich, Bavaria, Germany",7
1600,"Tübingen, Baden-Württemberg, Germany",4
1600,"Hrastnik, Hrastnik, Slovenia",2
1600,"Plzeň, Plzeňský, Czech Republic",1
1601,"Prague, Czech Republic",22
1601,"Graz, Styria, Austria",8
1601,"Tübingen, Baden-Württemberg, Germany",5
1601,"Munich, Bavaria, Germany",4
1601,"Wittenberg, Saxony-Anhalt, Germany",3
1601,"Deventer, Overijssel, Netherlands",2
1601,"Vienna, Wien, Austria",2
1601,"Bologna, Emilia-Romagna, Italy",1
1601,"Dresden, Saxony, Germany",1
1601,"Linz, Upper Austria, Austria",1
1602,"Prague, Czech Republic",38
1602,"Munich, Bavaria, Germany",14
1602,"Resterhafe, Lower Saxony, Germany",6
1602,"Wittenberg, Saxony-Anhalt, Germany",5
1602,"Esens, Lower Saxony, Germany",4
1602,"Ansbach, Bavaria, Germany",2
1602,"Aurich, Lower Saxony, Germany",1
1602,"Berlin, Berlin, Germany",1
1602,"Florence, Tuscany, Italy",1
1602,"Frankfurt (Oder), Brandenburg, Germany",1
1602,"Linz, Upper Austria, Austria",1
1602,"Magdeburg, Saxony-Anhalt, Germany",1
1603,"Prague, Czech Republic",35
1603,"Esens, Lower Saxony, Germany",11
1603,"Munich, Bavaria, Germany",11
1603,"Padua, Veneto, Italy",2
1603,"Ansbach, Bavaria, Germany",1
1603,"Bremen, Bremen, Germany",1
1603,"Brtnice, Vysočina, Czech Republic",1
1603,"Donauwörth, Bavaria, Germany",1
1603,"Graz, Styria, Austria",1
1603,"Schloss Rabenstein, Styria, Austria",1
1603,"Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)",1
1603,"Uherské Hradiště, Zlín, Czech Republic",1
1603,"Venice, Veneto, Italy",1
1603,"Wittenberg, Saxony-Anhalt, Germany",1
1604,"Prague, Czech Republic",42
1604,"Munich, Bavaria, Germany",4
1604,"Tübingen, Baden-Württemberg, Germany",3
1604,"Graz, Styria, Austria",2
1604,"Neuburg an der Donau, Bavaria, Germany",2
1604,"Osteel, Lower Saxony, Germany",2
1604,"Schloss Rabenstein, Styria, Austria",2
1604,"Wittenberg, Saxony-Anhalt, Germany",2
1604,"Amsterdam, North Holland, (United Provinces) Netherlands",1
1604,"Bremen, Bremen, Germany",1
1604,"Donauwörth, Bavaria, Germany",1
1604,"Dresden, Saxony, Germany",1
1604,"Esens, Lower Saxony, Germany",1
1604,"Frankfurt am Main, Hesse, Germany",1
1604,"Heidelberg, Baden-Württemberg, Germany",1
1604,"Horn, (West Frisia) Limburg, Netherlands",1
1604,"Innsbruck, Tyrol, Austria, (Holy Roman Empire)",1
1604,"Kaliningrad [Königsberg], Kaliningrad Oblast, Russia [Prussia]",1
1604,"Kaufbeuren, Bavaria, Germany",1
1604,"Möllbrücke, Carinthia, Austria",1
1604,"Regensburg, Bavaria, Germany",1
1604,"Rostock, Mecklenburg-Vorpommern, Germany",1
1604,"Vienna, Wien, Austria",1
1605,"Prague, Czech Republic",47
1605,"Munich, Bavaria, Germany",11
1605,"Osteel, Lower Saxony, Germany",8
1605,"Tübingen, Baden-Württemberg, Germany",7
1605,"Graz, Styria, Austria",2
1605,"Leiden, South Holland, Netherlands",2
1605,"London, England, United Kingdom",2
1605,"Wittenberg, Saxony-Anhalt, Germany",2
1605,"Altdorf, Bavaria, Germany",1
1605,"Bologna, Emilia-Romagna, Italy",1
1605,"Dresden, Saxony, Germany",1
1605,"Esens, Lower Saxony, Germany",1
1605,"Frankfurt (Oder), Brandenburg, Germany",1
1605,"Görlitz, Saxony, Germany",1
1605,"Kaufbeuren, Bavaria, Germany",1
1605,"Leipzig, Saxony, Germany",1
1605,"Mainz, Rhineland-Palatinate, Germany",1
1605,"Mnichovo Hradiště, Central Bohemia, Czech Republic",1
1605,"Neuburg an der Donau, Bavaria, Germany",1
1605,"Přelouč, Pardubický, Czech Republic",1
1605,"Styria, Austria",1
1605,"Turin, Piedmont, Italy",1
1606,"Prague, Czech Republic",43
1606,"Mainz, Rhineland-Palatinate, Germany",9
1606,"Tübingen, Baden-Württemberg, Germany",5
1606,"Munich, Bavaria, Germany",4
1606,"Graz, Styria, Austria",3
1606,"Altdorf, Bavaria, Germany",2
1606,"Antwerp, Flanders, Belgium",2
1606,"Kaliningrad [Königsberg], Kaliningrad Oblast, Russia [Prussia]",2
1606,"London, England, United Kingdom",2
1606,"Wittenberg, Saxony-Anhalt, Germany",2
1606,France,1
1606,"Osteel, Lower Saxony, Germany",1
1606,"Panenské Břežany, Central Bohemia",1
1606,"Rome, Latium, Italy",1
1607,"Prague, Czech Republic",69
1607,"Munich, Bavaria, Germany",10
1607,"Leipzig, Saxony, Germany",9
1607,"Olomouc, Moravia, Czech Republic",6
1607,"Osteel, Lower Saxony, Germany",5
1607,"Tübingen, Baden-Württemberg, Germany",5
1607,"Kaufbeuren, Bavaria, Germany",4
1607,"Crossen an der Elster, Thuringia, Germany",3
1607,"Dresden, Saxony, Germany",3
1607,"Freiburg, Baden-Württemberg, Germany",3
1607,"Görlitz, Saxony, Germany",3
1607,"Mainz, Rhineland-Palatinate, Germany",3
1607,"Bremen, Bremen, Germany",2
1607,"Wittenberg, Saxony-Anhalt, Germany",2
1607,"Eferding, Upper Austria, Austria",1
1607,"Kaliningrad [Königsberg], Kaliningrad Oblast, Russia [Prussia]",1
1607,"Leiden, South Holland, Netherlands",1
1607,"London, England, United Kingdom",1
1607,"Regensburg, Bavaria, Germany",1
1608,"Prague, Czech Republic",46
1608,"Leipzig, Saxony, Germany",10
1608,"Munich, Bavaria, Germany",7
1608,"Osteel, Lower Saxony, Germany",6
1608,"Görlitz, Saxony, Germany",3
1608,"Kaufbeuren, Bavaria, Germany",3
1608,"Wittenberg, Saxony-Anhalt, Germany",3
1608,"Kaliningrad [Königsberg], Kaliningrad Oblast, Russia [Prussia]",2
1608,"Dresden, Saxony, Germany",1
1608,"Frankfurt am Main, Hesse, Germany",1
1608,"Graz, Styria, Austria",1
1608,"London, England, United Kingdom",1
1608,"Neumünster, Schleswig-Holstein, Germany",1
1608,"Nový Jáchymov, Central Bohemia, Czech Republic",1
1608,"Olomouc, Moravia, Czech Republic",1
1609,"Prague, Czech Republic",26
1609,"Munich, Bavaria, Germany",6
1609,"Leipzig, Saxony, Germany",5
1609,"Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)",2
1609,"Tübingen, Baden-Württemberg, Germany",2
1609,"Altdöbern, Brandenburg, Germany",1
1609,"Frankfurt (Oder), Brandenburg, Germany",1
1609,"Halberstadt, Saxony-Anhalt, Germany",1
1609,"Leuven, Flemish Brabant, Belgium",1
1609,"London, England, United Kingdom",1
1609,"Mainz, Rhineland-Palatinate, Germany",1
1609,"Osteel, Lower Saxony, Germany",1
1610,"Prague, Czech Republic",57
1610,"Bologna, Emilia-Romagna, Italy",18
1610,"Padua, Veneto, Italy",9
1610,"Florence, Tuscany, Italy",6
1610,"Halberstadt, Saxony-Anhalt, Germany",4
1610,"Dresden, Saxony, Germany",2
1610,"Regensburg, Bavaria, Germany",2
1610,"Tübingen, Baden-Württemberg, Germany",2
1610,"Venice, Veneto, Italy",2
1610,"Wolfenbüttel, Lower Saxony, Germany",2
1610,"Copenhagen, Capital Region, Denmark",1
1610,"Gdańsk, Pomeranian Voivodeship, Poland",1
1610,"Grodków, Opole Voivodeship, Poland",1
1610,"Helmstedt, Lower Saxony, Germany",1
1610,"Kaliningrad [Königsberg], Kaliningrad Oblast, Russia [Prussia]",1
1610,"Leipzig, Saxony, Germany",1
1610,"Linz, Upper Austria, Austria",1
1610,"Lochovice, Central Bohemia , Czech Republic",1
1610,"Paris, Île-de-France, France",1
1610,"Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)",1
1611,"Prague, Czech Republic",24
1611,"Wolfenbüttel, Lower Saxony, Germany",8
1611,"Florence, Tuscany, Italy",3
1611,"Linz, Upper Austria, Austria",2
1611,"Altdorf, Bavaria, Germany",1
1611,"Kaliningrad [Königsberg], Kaliningrad Oblast, Russia [Prussia]",1
1611,"Rome, Latium, Italy",1
1612,"Linz, Upper Austria, Austria",13
1612,"Prague, Czech Republic",10
1612,"Strasbourg, Grand Est, France",3
1612,"Ansbach, Bavaria, Germany",1
1612,"Augsburg, Bavaria, Germany",1
1612,"Brussels, Brussels Capital Region, Belgium",1
1612,"Frankfurt am Main, Hesse, Germany",1
1612,"Kaliningrad [Königsberg], Kaliningrad Oblast, Russia [Prussia]",1
1612,"Pfaffenhofen an der Ilm, Bavaria, Germany",1
1612,"Rome, Latium, Italy",1
1612,"Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)",1
1613,"Linz, Upper Austria, Austria",21
1613,"Regensburg, Bavaria, Germany",6
1613,"Strasbourg, Grand Est, France",6
1613,"Antwerp, Flanders, Belgium",4
1613,"Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)",3
1613,"Prague, Czech Republic",2
1613,"Tübingen, Baden-Württemberg, Germany",2
1613,"Ansbach, Bavaria, Germany",1
1613,"Augsburg, Bavaria, Germany",1
1613,"Brussels, Brussels Capital Region, Belgium",1
1613,"Dresden, Saxony, Germany",1
1613,"Eferding, Upper Austria, Austria",1
1613,"Nuremberg, Bavaria, Germany",1
1613,"Soběslav, Jihočeský, Czech Republic",1
1613,"Steyregg, Upper Austria, Austria",1
1614,"Linz, Upper Austria, Austria",30
1614,"Strasbourg, Grand Est, France",3
1614,"Tübingen, Baden-Württemberg, Germany",3
1614,"Wels, Upper Austria, Austria",3
1614,"Soběslav, Jihočeský, Czech Republic",2
1614,"Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)",2
1614,"Vienna, Wien, Austria",2
1614,"Antwerp, Flanders, Belgium",1
1614,"Augsburg, Bavaria, Germany",1
1614,"Bytom, Silesian Voivodeship, Poland",1
1614,"Frankfurt am Main, Hesse, Germany",1
1614,"Graz, Styria, Austria",1
1614,"Prague, Czech Republic",1
1614,"Rome, Latium, Italy",1
1614,"Szprotawa, Lubusz Voivodeship, (Silesia) Poland",1
1614,"Wittenberg, Saxony-Anhalt, Germany",1
1615,"Linz, Upper Austria, Austria",19
1615,"Strasbourg, Grand Est, France",3
1615,"Gdańsk, Pomeranian Voivodeship, Poland",2
1615,"Kaliningrad [Königsberg], Kaliningrad Oblast, Russia [Prussia]",2
1615,"Prague, Czech Republic",2
1615,"Tübingen, Baden-Württemberg, Germany",2
1615,"Vienna, Wien, Austria",2
1615,"Ingolstadt, Bavaria, Germany, (Holy Roman Empire)",1
1615,"Innsbruck, Tyrol, Austria, (Holy Roman Empire)",1
1615,"Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)",1
1615,"Třeboň, Jihočeský, Czech Republic",1
1615,"Venice, Veneto, Italy",1
