person,network_full,weighted_in_degree_full,weighted_out_degree_full,weighted_total_degree_full,in_degree_full,out_degree_full,betweenness_full,pagerank_full,eigenvector_full,network_no_kepler,weighted_in_degree_no_kepler,weighted_out_degree_no_kepler,weighted_total_degree_no_kepler,in_degree_no_kepler,out_degree_no_kepler,betweenness_no_kepler,pagerank_no_kepler,eigenvector_no_kepler,betweenness_change
"Albert (Herr), fl. 1606",full,1,0,1,1,0,0.0,0.011154331291149705,0.0006786220183678924,kepler_removed,1.0,0.0,1.0,1.0,0.0,0.0,0.008389772386675001,3.167442099271328e-20,0.0
"Anhalt-Plötzkau, August von, 1575-1653",full,1,2,3,1,1,0.0,0.0019316688406633903,0.006316434512211672,kepler_removed,0.0,0.0,0.0,0.0,0.0,0.0,0.003261012085874513,2.551394619888258e-34,0.0
"Augsburg, Senate of",full,1,0,1,1,0,0.0,0.0019316688406633903,0.006316434512211672,kepler_removed,0.0,0.0,0.0,0.0,0.0,0.0,0.003261012085874513,2.551394619888258e-34,0.0
"Auracher, Wolf, fl. 1628",full,0,1,1,0,1,0.0,0.0011203590594301158,0.006316434512211672,kepler_removed,0.0,0.0,0.0,0.0,0.0,0.0,0.003261012085874513,2.551394619888258e-34,0.0
"Austria, Estates of",full,2,0,2,1,0,0.0,0.0027429786218966645,0.012632869024423343,kepler_removed,0.0,0.0,0.0,0.0,0.0,0.0,0.003261012085874513,2.551394619888258e-34,0.0
"Avianus, Wilhelm, d.1636",full,1,0,1,1,0,0.0,0.0019316688406633903,0.006316434512211672,kepler_removed,0.0,0.0,0.0,0.0,0.0,0.0,0.003261012085874513,2.551394619888258e-34,0.0
"Bachacius, Martinus, 1539-1612",full,0,5,5,0,5,0.0,0.0011203590594301158,0.006318459600140714,kepler_removed,0.0,4.0,4.0,0.0,4.0,0.0,0.003261012085874513,1.7232779023688427e-16,0.0
"Bachmayer, Wolfgang, 1597-1685",full,0,2,2,0,1,0.0,0.0011203590594301158,0.012632869024423343,kepler_removed,0.0,0.0,0.0,0.0,0.0,0.0,0.003261012085874513,2.551394619888258e-34,0.0
"Bacon, Francis, 1561-1626",full,1,0,1,1,0,0.0,0.002072706268330746,0.0,kepler_removed,1.0,0.0,1.0,1.0,0.0,0.0,0.006033158956280307,3.506610064515334e-23,0.0
"Baden-Durlach, Georg Friedrich von, 1573-1637",full,1,0,1,1,0,0.0,0.0019316688406633903,0.006316434512211672,kepler_removed,0.0,0.0,0.0,0.0,0.0,0.0,0.003261012085874513,2.551394619888258e-34,0.0
"Barbavara, Ludovico, b.1575",full,0,2,2,0,1,0.0,0.0011203590594301158,0.012632869024423343,kepler_removed,0.0,0.0,0.0,0.0,0.0,0.0,0.003261012085874513,2.551394619888258e-34,0.0
