person,network,weighted_in_degree,weighted_out_degree,weighted_total_degree,in_degree,out_degree,betweenness,pagerank,eigenvector
"Brahe, Tycho, 1546-1601",kepler_removed,4,9,13,3,7,0.0007845188284518828,0.017453517586743655,0.00986467979012476
"Schickard, Wilhelm, 1592-1635",kepler_removed,6,7,13,4,2,0.00043584379358437936,0.015029559171341014,0.6683366381616564
"Bernegger, Matthias, 1582-1640",kepler_removed,6,7,13,1,6,0.0004184100418410042,0.014212532457650728,0.6544296597760189
"Galilei, Galileo, 1564-1642",kepler_removed,8,3,11,3,3,0.0001394700139470014,0.015251646443795737,0.00013198695654603013
"Herwart von Hohenburg, Hans Georg, 1553-1622",kepler_removed,7,4,11,3,3,0.0004881450488145049,0.010453934490565937,0.028785376413063002
"Mästlin, Michael, 1550-1631",kepler_removed,5,3,8,3,2,0.0002615062761506276,0.02017424787192368,0.0017691305174745763
"Müller, Philip, 1585-1659",kepler_removed,7,0,7,2,0,0.0,0.010272699129427286,0.07093858889596985
"Crüger, Peter, 1580-1639",kepler_removed,0,5,5,0,1,0.0,0.003261012085874513,0.05149926529504557
"Württemberg, Friedrich I von, 1557-1608",kepler_removed,2,2,4,1,1,0.0,0.01469509955782597,0.0005141822357432823
"Medici, Giuliano de', fl. 1610-1611",kepler_removed,1,3,4,1,1,0.0,0.007582895811247501,7.482953789011808e-05
"Hoffmann, Johannes Fridericus, fl. 1600",kepler_removed,3,1,4,1,1,0.0,0.00820689807751402,0.0014327147794749061
"Bachacius, Martinus, 1539-1612",kepler_removed,0,4,4,0,4,0.0,0.003261012085874513,1.7232779023688427e-16
"Hasdale, Martin, fl. 1610",kepler_removed,0,4,4,0,1,0.0,0.003261012085874513,9.977271718682411e-05
"Praetorius, Johannes, 1537-1616",kepler_removed,0,3,3,0,1,0.0,0.003261012085874513,0.0125380807747772
"Burgermeister and Council, Weil der Stadt, fl. 1590-1591",kepler_removed,1,2,3,1,1,0.0,0.021437105280613853,3.506610064515334e-23
"Bartsch, Jakob, 1600-1633",kepler_removed,1,2,3,1,1,8.716875871687587e-05,0.0049870653229990725,0.1155689328866634
"Tübingen University, formed 1477",kepler_removed,2,1,3,1,1,0.0,0.021437105280613853,3.506610064515334e-23
"Röslin, Helisaeus, 1545-1616",kepler_removed,0,3,3,0,1,0.0,0.003261012085874513,0.0125380807747772
"Mögling, Daniel, 1596-1635",kepler_removed,0,2,2,0,1,0.0,0.003261012085874513,0.19397431165496742
"Hochkircher, Christoph von, fl. 1624",kepler_removed,2,0,2,1,0,0.0,0.006033158956280307,1.1488519349125624e-16
"Guldin, Paul, 1577-1643",kepler_removed,2,0,2,2,0,0.0,0.008805305826686101,4.4794395748210193e-20
"Cysat, Johann Baptist, 1587-1657",kepler_removed,2,0,2,1,0,0.0,0.006033158956280307,1.1488519349125624e-16
