Author,Addressee,weight
"Anhalt-Plötzkau, August von, 1575-1653","Kepler, Johannes, 1571-1630",2
"Auracher, Wolf, fl. 1628","Kepler, Johannes, 1571-1630",1
"Bachacius, Martinus, 1539-1612","Funck von Olivet, Georg, fl. 1598-1604",1
"Bachacius, Martinus, 1539-1612","Hofman, Anton von Saaz, fl. 1605",1
"Bachacius, Martinus, 1539-1612","Kepler, Johannes, 1571-1630",1
"Bachacius, Martinus, 1539-1612","Vlaveryn, Wenzel, fl. 1606",1
"Bachacius, Martinus, 1539-1612","von Mies, Matthias, fl. 1605",1
"Bachmayer, Wolfgang, 1597-1685","Kepler, Johannes, 1571-1630",2
"Barbavara, Ludovico, b.1575","Kepler, Johannes, 1571-1630",2
"Bartsch, Jakob, 1600-1633","Kepler, Johannes, 1571-1630",2
"Bartsch, Jakob, 1600-1633","Müller, Philip, 1585-1659",2
"Becker, David, fl. 1630","Kepler, Johannes, 1571-1630",1
"Bernegger, Matthias, 1582-1640","Bartsch, Jakob, 1600-1633",1
"Bernegger, Matthias, 1582-1640","Braunschweig-Wolfenbüttel, August II von, 1579-1666",1
"Bernegger, Matthias, 1582-1640","Clutenius, Joachim, fl. 1628",1
"Bernegger, Matthias, 1582-1640","Hebenstreit, Johann Baptist, 1580-1638",1
"Bernegger, Matthias, 1582-1640","Kepler, Johannes, 1571-1630",21
"Bernegger, Matthias, 1582-1640","Memhard, Johann, fl. 1602",1
"Bernegger, Matthias, 1582-1640","Schickard, Wilhelm, 1592-1635",2
"Besold, Christoph, 1577-1638","Kepler, Johannes, 1571-1630",13
"Beyer, Johann Hartmann, 1563-1625","Kepler, Johannes, 1571-1630",3
"Bianchi, Vincenzo, 1583-1637","Kepler, Johannes, 1571-1630",7
"Bossius, Stephan, fl. 1628","Kepler, Johannes, 1571-1630",1
"Brahe, Georg, b.1583","Kepler, Johannes, 1571-1630",1
"Brahe, Tycho, 1546-1601","Blotius, Hugo, 1553-1608",1
"Brahe, Tycho, 1546-1601","Herwart von Hohenburg, Hans Georg, 1553-1622",1
"Brahe, Tycho, 1546-1601","Hoffmann, Johannes Fridericus, fl. 1600",3
"Brahe, Tycho, 1546-1601","Jessen, Johannes, 1566-1621",1
"Brahe, Tycho, 1546-1601","Kepler, Johannes, 1571-1630",4
"Brahe, Tycho, 1546-1601","Mästlin, Michael, 1550-1631",1
"Brahe, Tycho, 1546-1601","Rindschat, Sigfried, d.1626 or before",1
"Brahe, Tycho, 1546-1601","Rosencrantz, Oliger, 1574-1642",1
"Brengger, Johann Georg, 1559-1637 or after","Kepler, Johannes, 1571-1630",5
"Briggs, Henry, 1561-1631","Kepler, Johannes, 1571-1630",1
"Bruce, Edmund, fl. 1597-1605","Kepler, Johannes, 1571-1630",3
