Year,person,place
1590,"Burgermeister and Council, Weil der Stadt, fl. 1590-1591","Weil der Stadt, Baden-Württemberg, Germany"
1590,"Kepler, Johannes, 1571-1630","Tübingen, Baden-Württemberg, Germany"
1591,"Tübingen University, formed 1477","Tübingen, Baden-Württemberg, Germany"
1591,"Burgermeister and Council, Weil der Stadt, fl. 1590-1591","Weil der Stadt, Baden-Württemberg, Germany"
1593,"Schärer, Melchior, 1563-1624","Widdern, Baden-Württemberg, Germany"
1593,"Köllin, Matthias, 1570-1612","Blaubeuren Abbey, Blaubeuren, Baden-Württemberg, Germany"
1593,"Kepler, Johannes, 1571-1630","Leonberg, Baden-Württemberg, Germany"
1594,"Kepler, Johannes, 1571-1630","Tübingen, Baden-Württemberg, Germany"
1594,"Kepler, Johannes, 1571-1630","Graz, Styria, Austria"
1594,"Kepler, Johannes, 1571-1630","Graz, Styria, Austria"
1594,"Kepler, Johannes, 1571-1630","Graz, Styria, Austria"
1594,"Kepler, Johannes, 1571-1630","Graz, Styria, Austria"
1594,"Kepler, Johannes, 1571-1630","Graz, Styria, Austria"
1594,"Mästlin, Michael, 1550-1631","Calw, Baden-Württemberg, Germany"
1594,"Hafenreffer, Matthias, 1561-1619","Calw, Baden-Württemberg, Germany"
1595,"Kepler, Johannes, 1571-1630","Graz, Styria, Austria"
1595,"Mästlin, Michael, 1550-1631","Calw, Baden-Württemberg, Germany"
1595,"Kepler, Johannes, 1571-1630","Graz, Styria, Austria"
1595,"Ortholph, Christoph, b.1573","Hirsau, Baden-Württemberg, Germany"
1595,"Kepler, Johannes, 1571-1630","Graz, Styria, Austria"
1595,"Kepler, Johannes, 1571-1630","Graz, Styria, Austria"
1595,"Kepler, Johannes, 1571-1630","Graz, Styria, Austria"
1595,"Kepler, Johannes, 1571-1630","Graz, Styria, Austria"
1595,"Tschernembl, Georg Erasmus von, 1567-1626","Schwertberg, Upper Austria, Austria"
1595,"Kepler, Johannes, 1571-1630","Graz, Styria, Austria"
1595,"Kepler, Johannes, 1571-1630","Graz, Styria, Austria"
1596,"Kepler, Johannes, 1571-1630","Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)"
1596,"Mästlin, Michael, 1550-1631","Tübingen, Baden-Württemberg, Germany"
1596,"Kepler, Johannes, 1571-1630","Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)"
1596,"Mästlin, Michael, 1550-1631","Tübingen, Baden-Württemberg, Germany"
1596,"Osiander, Lucas II, 1571-1638","Göppingen, Baden-Württemberg, Germany"
1596,"Kepler, Johannes, 1571-1630","Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)"
1596,"Kepler, Johannes, 1571-1630","Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)"
1596,"Kepler, Johannes, 1571-1630","Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)"
1596,"Kepler, Johannes, 1571-1630","Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)"
1596,"Mästlin, Michael, 1550-1631","Tübingen, Baden-Württemberg, Germany"
1596,"Kepler, Johannes, 1571-1630","Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)"
1596,"Kepler, Johannes, 1571-1630","Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)"
1596,"Kepler, Johannes, 1571-1630","Tübingen, Baden-Württemberg, Germany"
1596,"Pape, Johann, 1558-1622","Tübingen, Baden-Württemberg, Germany"
1596,"Kepler, Johannes, 1571-1630","Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)"
