Origin,Destination,weight
"Altdorf, Bavaria, Germany","Linz, Upper Austria, Austria",1
"Altdorf, Bavaria, Germany","Munich, Bavaria, Germany",3
"Altdorf, Bavaria, Germany","Prague, Czech Republic",2
"Altdöbern, Brandenburg, Germany","Prague, Czech Republic",1
"Ansbach, Bavaria, Germany","Graz, Styria, Austria",3
"Ansbach, Bavaria, Germany","Prague, Czech Republic",3
"Ansbach, Bavaria, Germany","Regensburg, Bavaria, Germany",1
"Antwerp, Flanders, Belgium","Linz, Upper Austria, Austria",4
"Antwerp, Flanders, Belgium","Prague, Czech Republic",2
"Antwerp, Flanders, Belgium","Regensburg, Bavaria, Germany",1
"Augsburg, Bavaria, Germany","Ingolstadt, Bavaria, Germany, (Holy Roman Empire)",1
"Augsburg, Bavaria, Germany","Linz, Upper Austria, Austria",3
"Aurich, Lower Saxony, Germany","Prague, Czech Republic",1
"Bad Teinach-Zavelstein, Baden-Württemberg, Germany","Linz, Upper Austria, Austria",1
"Baierdorf bei Anger, Styria, Austria","Tübingen, Baden-Württemberg, Germany",1
"Bellosguardo , Florence, Tuscany, Italy","Ulm, Baden-Württemberg, Germany",1
"Benátky nad Jizerou, Central Bohemia, Czech Republic","Graz, Styria, Austria",2
"Benátky nad Jizerou, Central Bohemia, Czech Republic","Prague, Czech Republic",4
"Berlin, Berlin, Germany","Linz, Upper Austria, Austria",1
"Berlin, Berlin, Germany","Prague, Czech Republic",1
"Blaubeuren Abbey, Blaubeuren, Baden-Württemberg, Germany","Tübingen, Baden-Württemberg, Germany",1
"Bologna, Emilia-Romagna, Italy","Linz, Upper Austria, Austria",1
"Bologna, Emilia-Romagna, Italy","Prague, Czech Republic",13
"Bremen, Bremen, Germany","Prague, Czech Republic",4
"Brno, South Moravia, Czech Republic","Linz, Upper Austria, Austria",2
"Brtnice, Vysočina, Czech Republic","Prague, Czech Republic",1
"Brussels, Brussels Capital Region, Belgium","Linz, Upper Austria, Austria",1
"Burgstein, Baden-Württemberg, Germany","Graz, Styria, Austria",1
"Butzbach, Hesse, Germany, (Holy Roman Empire)","Linz, Upper Austria, Austria",3
"Butzbach, Hesse, Germany, (Holy Roman Empire)","Tübingen, Baden-Württemberg, Germany",1
"Butzbach, Hesse, Germany, (Holy Roman Empire)","Ulm, Baden-Württemberg, Germany",1
"Butzbach, Hesse, Germany, (Holy Roman Empire)","Zagań, Lubusz, Poland",1
"Bytom, Silesian Voivodeship, Poland","Linz, Upper Austria, Austria",1
"Calw, Baden-Württemberg, Germany","Graz, Styria, Austria",3
"Castle Leombach, Leombach, Upper Austria, Austria","Linz, Upper Austria, Austria",5
"Castle Rastenberg, Rastenfeld, Lower Austria, Austria","Linz, Upper Austria, Austria",2
"Cologne, North Rhine-Westphalia, Germany","Linz, Upper Austria, Austria",1
"Copenhagen, Capital Region, Denmark","Prague, Czech Republic",1
"Crossen an der Elster, Thuringia, Germany","Prague, Czech Republic",2
"Deventer, Overijssel, Netherlands","Prague, Czech Republic",2
"Dillingen an der Donau, Bavaria, Germany","Ulm, Baden-Württemberg, Germany",4
"Donauwörth, Bavaria, Germany","Prague, Czech Republic",2
"Dresden, Saxony, Germany","Linz, Upper Austria, Austria",1
"Dresden, Saxony, Germany","Prague, Czech Republic",6
"Dębno, West Pomerania, Poland","Linz, Upper Austria, Austria",1
"Eferding, Upper Austria, Austria","Linz, Upper Austria, Austria",3
"Eferding, Upper Austria, Austria","Prague, Czech Republic",1
"Esens, Lower Saxony, Germany","Prague, Czech Republic",14
"Esslingen, Baden-Württemberg, Germany","Güglingen, Baden-Württemberg, Germany",1
"Florence, Tuscany, Italy","Prague, Czech Republic",2
"Frankfurt (Oder), Brandenburg, Germany","Prague, Czech Republic",3
"Frankfurt am Main, Hesse, Germany","Linz, Upper Austria, Austria",3
"Frankfurt am Main, Hesse, Germany","Prague, Czech Republic",3
"Frankfurt am Main, Hesse, Germany","Strasbourg, Grand Est, France",1
"Freiburg, Baden-Württemberg, Germany","Prague, Czech Republic",2
"Friedland, Lower Saxony, Germany","Zagań, Lubusz, Poland",1
"Gdańsk, Pomeranian Voivodeship, Poland","Leipzig, Saxony, Germany",6
"Gdańsk, Pomeranian Voivodeship, Poland","Linz, Upper Austria, Austria",6
"Gdańsk, Pomeranian Voivodeship, Poland","Prague, Czech Republic",1
"Geneva, Geneva, Switzerland","Regensburg, Bavaria, Germany",1
"Geneva, Geneva, Switzerland","Tübingen, Baden-Württemberg, Germany",1
"Giessen, Hesse, Germany","Linz, Upper Austria, Austria",1
Girsitz,"Graz, Styria, Austria",1
Girsitz,"Vienna, Wien, Austria",1
"Graz, Styria, Austria","Bologna, Emilia-Romagna, Italy",1
"Graz, Styria, Austria","Bruck an der Mur, Styria, Austria",1
