place,Year,mentions,distinct_people,max_person_weighted_degree,mean_person_weighted_degree,max_person_betweenness,mean_person_betweenness,max_person_pagerank,mean_person_pagerank,place_total_activity,meeting_intensity_score,brokerage_intensity_score,pagerank_intensity_score,metric_mode
"Baierdorf bei Anger, Styria, Austria",1598,1,1,1067,1067.0,0.3760719225449516,0.3760719225449516,0.3568889248555853,0.3568889248555853,1,2134.0,0.7521438450899033,0.7137778497111706,full
"Steyregg, Upper Austria, Austria",1613,1,1,1067,1067.0,0.3760719225449516,0.3760719225449516,0.3568889248555853,0.3568889248555853,1,2134.0,0.7521438450899033,0.7137778497111706,full
"Bad Cannstatt, Baden-Württemberg, Germany",1617,1,1,1067,1067.0,0.3760719225449516,0.3760719225449516,0.3568889248555853,0.3568889248555853,1,2134.0,0.7521438450899033,0.7137778497111706,full
"Leonberg, Baden-Württemberg, Germany",1593,1,1,1067,1067.0,0.3760719225449516,0.3760719225449516,0.3568889248555853,0.3568889248555853,2,1346.40409412149,0.47454993083286107,0.45034368282303366,full
"Styria, Austria",1605,1,1,1067,1067.0,0.3760719225449516,0.3760719225449516,0.3568889248555853,0.3568889248555853,2,1346.40409412149,0.47454993083286107,0.45034368282303366,full
"Rosswälden, Baden-Württemberg, Germany",1625,2,1,1067,1067.0,0.3760719225449516,0.3760719225449516,0.3568889248555853,0.3568889248555853,2,1346.40409412149,0.47454993083286107,0.45034368282303366,full
"Wels, Upper Austria, Austria",1614,3,3,1067,356.6666666666667,0.3760719225449516,0.12535730751498386,0.3568889248555853,0.11970988099148185,5,1101.4988931324847,0.38795861055628167,0.36874717193313633,full
"Wels, Upper Austria, Austria",1623,2,1,1067,1067.0,0.3760719225449516,0.3760719225449516,0.3568889248555853,0.3568889248555853,5,825.5438906385118,0.2909689579172112,0.2761269649026011,full
"Eferding, Upper Austria, Austria",1613,1,1,1067,1067.0,0.3760719225449516,0.3760719225449516,0.3568889248555853,0.3568889248555853,5,825.5438906385118,0.2909689579172112,0.2761269649026011,full
"Lubań, Lower Silesia, Poland",1630,1,1,1067,1067.0,0.3760719225449516,0.3760719225449516,0.3568889248555853,0.3568889248555853,5,825.5438906385118,0.2909689579172112,0.2761269649026011,full
"Jičín, Královéhradecký kraj, Czech Republic",1630,5,3,1067,220.2,0.3760719225449516,0.07701936376210235,0.3568889248555853,0.0753570493873476,9,774.9716208373532,0.27278813590480017,0.2602380075042468,full
