place,Year,mentions,distinct_people,max_person_weighted_degree,mean_person_weighted_degree,max_person_betweenness,mean_person_betweenness,max_person_pagerank,mean_person_pagerank,place_total_activity,meeting_intensity_score,brokerage_intensity_score,pagerank_intensity_score,metric_mode
Girsitz,1599,2,2,13.0,6.5,0.0007845188284518828,0.0003922594142259414,0.017453517586743655,0.010357264836309084,2,19.5,0.0011767782426778243,0.027810782423052738,kepler_removed
"Wandsbek, Hamburg, Germany",1598,2,1,13.0,13.0,0.0007845188284518828,0.0007845188284518828,0.017453517586743655,0.017453517586743655,3,13.0,0.0007845188284518828,0.017453517586743655,kepler_removed
"Wandsbek, Hamburg, Germany",1597,1,1,13.0,13.0,0.0007845188284518828,0.0007845188284518828,0.017453517586743655,0.017453517586743655,3,13.0,0.0007845188284518828,0.017453517586743655,kepler_removed
"Benátky nad Jizerou, Central Bohemia, Czech Republic",1600,11,1,13.0,13.0,0.0007845188284518828,0.0007845188284518828,0.017453517586743655,0.017453517586743655,12,7.026192015110313,0.0004240138406286397,0.009433212761812746,kepler_removed
"Benátky nad Jizerou, Central Bohemia, Czech Republic",1599,1,1,13.0,13.0,0.0007845188284518828,0.0007845188284518828,0.017453517586743655,0.017453517586743655,12,7.026192015110313,0.0004240138406286397,0.009433212761812746,kepler_removed
"Wittenberg, Saxony-Anhalt, Germany",1599,1,1,13.0,13.0,0.0007845188284518828,0.0007845188284518828,0.017453517586743655,0.017453517586743655,23,5.67071159162382,0.00034221384725763315,0.007613374191827497,kepler_removed
"Nürtingen, Baden-Württemberg, Germany",1618,5,1,13.0,13.0,0.00043584379358437936,0.00043584379358437936,0.015029559171341014,0.015029559171341014,6,9.261386864808577,0.0003105013834623624,0.01070727399179392,kepler_removed
"Nürtingen, Baden-Württemberg, Germany",1617,1,1,13.0,13.0,0.00043584379358437936,0.00043584379358437936,0.015029559171341014,0.015029559171341014,6,9.261386864808577,0.0003105013834623624,0.01070727399179392,kepler_removed
"Prague, Czech Republic",1600,14,5,13.0,4.928571428571429,0.0007845188284518828,0.00022414823670053796,0.017453517586743655,0.007915165392332826,511,5.149409426039764,0.00028970739323683014,0.007286343799288419,kepler_removed
"Bellosguardo , Florence, Tuscany, Italy",1627,1,1,11.0,11.0,0.0001394700139470014,0.0001394700139470014,0.015251646443795737,0.015251646443795737,1,22.0,0.0002789400278940028,0.030503292887591477,kepler_removed
"Calw, Baden-Württemberg, Germany",1594,2,2,8.0,4.5,0.0002615062761506276,0.0001307531380753138,0.02017424787192368,0.01457615184688696,4,8.532577431074817,0.00026775870599607166,0.023720838108924187,kepler_removed
"Calw, Baden-Württemberg, Germany",1595,2,1,8.0,8.0,0.0002615062761506276,0.0002615062761506276,0.02017424787192368,0.02017424787192368,4,6.890824929174289,0.00022524924585428505,0.01737715127039913,kepler_removed
"Munich, Bavaria, Germany",1597,7,2,11.0,9.428571428571429,0.0004881450488145049,0.0004184100418410042,0.010453934490565937,0.009426374147038591,108,4.783929943967138,0.00021229561054754637,0.004655538646903593,kepler_removed
"Tübingen, Baden-Württemberg, Germany",1620,10,3,13.0,10.7,0.00043584379358437936,0.0003573919107391911,0.02017424787192368,0.014881642202910897,184,6.29366607553968,0.0002106481283632101,0.009309285489950823,kepler_removed
"Strasbourg, Grand Est, France",1628,12,2,13.0,12.0,0.0004184100418410042,0.00038354253835425387,0.014212532457650728,0.01344374352976309,87,6.134295532087098,0.00019677656518549965,0.006786070808950411,kepler_removed
"Tübingen, Baden-Württemberg, Germany",1624,6,3,13.0,8.666666666666666,0.00043584379358437936,0.0002905625290562529,0.015029559171341014,0.01110671014285218,184,5.753703163292252,0.00019290121644982612,0.006940630865987614,kepler_removed
"Strasbourg, Grand Est, France",1621,7,2,13.0,11.142857142857142,0.0004184100418410042,0.00035863717872086073,0.014212532457650728,0.012648029547396982,87,5.923976828129826,0.00019066549173253383,0.006590825019876506,kepler_removed
"Tübingen, Baden-Württemberg, Germany",1623,5,3,13.0,7.8,0.00043584379358437936,0.0002615062761506276,0.015029559171341014,0.010322140337154413,184,5.5235550367605635,0.00018518516779183306,0.006732284014932221,kepler_removed
