Id,InDegree,OutDegree,TotalDegree
"Albert (Herr), fl. 1606",1,0,1
"Anhalt-Plötzkau, August von, 1575-1653",1,2,3
"Augsburg, Senate of",1,0,1
"Auracher, Wolf, fl. 1628",0,1,1
"Austria, Estates of",2,0,2
"Avianus, Wilhelm, d.1636",1,0,1
"Bachacius, Martinus, 1539-1612",0,5,5
"Bachmayer, Wolfgang, 1597-1685",0,2,2
"Bacon, Francis, 1561-1626",1,0,1
"Baden-Durlach, Georg Friedrich von, 1573-1637",1,0,1
"Barbavara, Ludovico, b.1575",0,2,2
"Bartsch, Jakob, 1600-1633",2,4,6
"Barvitius, Johann Anton, 1555-1620",1,0,1
"Bayer, Andreas, 1566-1635",1,0,1
"Becker, David, fl. 1630",1,1,2
"Bernegger, Matthias, 1582-1640",49,28,77
"Besold, Christoph, 1577-1638",2,13,15
"Beyer, Johann Hartmann, 1563-1625",0,3,3
"Bianchi, Vincenzo, 1583-1637",5,7,12
"Blaeu, Willem Janszoon, 1571-1638",1,0,1
"Blotius, Hugo, 1553-1608",3,0,3
"Bossius, Stephan, fl. 1628",0,1,1
"Brahe, Georg, b.1583",2,1,3
"Brahe, Georg, b.1583; Brahe, Tycho, b.1581",1,0,1
"Brahe, Tycho, 1546-1601",8,13,21
"Braunschweig-Wolfenbüttel, August II von, 1579-1666",1,0,1
"Brengger, Johann Georg, 1559-1637 or after",4,5,9
"Briggs, Henry, 1561-1631",0,1,1
"Bruce, Edmund, fl. 1597-1605",2,3,5
"Brunn, Lukas, 1572-1628",0,1,1
"Budovec z Budova, Václav, 1547-1621",0,2,2
"Bulder, Hermann, fl. 1608-1609",0,2,2
"Burgermeister and Council, Weil der Stadt, fl. 1590-1591",1,2,3
"Calvisius, Sethus, 1556-1615",8,6,14
"Carosio, Matteo, fl. 1610",1,0,1
"Casal, Peter, fl. 1606",0,1,1
"Caselius, Johannes, 1533-1613",0,1,1
"Chamberates of Albrecht von Wallenstein, fl. 1630",1,0,1
"Christmann, Jacob, 1554-1613",0,1,1
"Church Minister, Graz, fl. 1597",1,0,1
"Clutenius, Joachim, fl. 1628",1,0,1
"Coignet, Michiel, 1549-1623",1,0,1
"Court Council of War, Styria, fl. 1594",1,0,1
"Cristini, Bartolomeo, b.1547",0,1,1
"Crusius, Florian, fl. 1609-1650",0,10,10
"Crusius, Martin, 1526-1607",0,2,2
"Crüger, Peter, 1580-1639",8,13,21
"Curtz, Albert, 1600-1671",0,6,6
"Cysat, Johann Baptist, 1587-1657",2,1,3
"Dasypodius, Conrad, 1532-1601",0,1,1
"De Cavalli, Marin, 1561-1611",1,0,1
"Decker, Joannes, fl. 1605",3,6,9
"Dietrichstein, Ludwig von, 1533-1615",0,10,10
"Diodati, Elia, 1576-1661",0,1,1
"Donauer, Christoph, 1564-1611",0,2,2
"Dornau, Caspar, 1577-1631",0,3,3
"Eckebrecht, Phillip, 1594-1667",0,1,1
"Eichler, Gregor, 1562-1611",1,3,4
"Enenkel, Job Hartmann von, 1576-1627",0,3,3
"Ens, Caspar, 1570-1650",0,1,1
"Eriksen, Johannes, fl. 1599-1601",0,4,4
"Esslingen, City Council of, fl. 1627",1,0,1
"Faber, Sebastian, 1564-1625",1,0,1
