Person,HomeCity,Latitude,Longitude
"Albert (Herr), fl. 1606","Prague, Czech Republic",50.0874654,14.4212535
"Anhalt-Plötzkau, August von, 1575-1653","Crossen an der Elster, Thuringia, Germany",50.9772092,11.9863951
"Augsburg, Senate of","Augsburg, Bavaria, Germany",48.3690341,10.8979522
"Auracher, Wolf, fl. 1628","Regensburg, Bavaria, Germany",49.0195333,12.0974869
"Avianus, Wilhelm, d.1636","Leipzig, Saxony, Germany",51.3406321,12.3747329
"Bachacius, Martinus, 1539-1612","Prague, Czech Republic",50.0874654,14.4212535
"Bachmayer, Wolfgang, 1597-1685","Mähringen, Baden-Württemberg, Germany",48.436836,9.9404851
"Barbavara, Ludovico, b.1575","Milan, Lombardy, Italy",45.4641943,9.1896346
"Bartsch, Jakob, 1600-1633","Lubań, Lower Silesia, Poland",51.1147105,15.2811574
"Barvitius, Johann Anton, 1555-1620","Prague, Czech Republic",50.0874654,14.4212535
"Becker, David, fl. 1630","Halberstadt, Saxony-Anhalt, Germany",51.8953514,11.0520563
"Bernegger, Matthias, 1582-1640","Strasbourg, Grand Est, France",48.584614,7.7507127
"Besold, Christoph, 1577-1638","Tübingen, Baden-Württemberg, Germany",48.5203263,9.053596
"Beyer, Johann Hartmann, 1563-1625","Frankfurt am Main, Hesse, Germany",50.1106444,8.6820917
"Bianchi, Vincenzo, 1583-1637","Venice, Veneto, Italy",45.4046171,12.3105232
"Blaeu, Willem Janszoon, 1571-1638","Amsterdam, North Holland, (United Provinces) Netherlands",52.3730796,4.8924534
"Blotius, Hugo, 1553-1608","Vienna, Wien, Austria",48.1857192,16.4221587
"Bossius, Stephan, fl. 1628","Vienna, Wien, Austria",48.1857192,16.4221587
"Brahe, Georg, b.1583","Prague, Czech Republic",50.0874654,14.4212535
"Brahe, Georg, b.1583; Brahe, Tycho, b.1581","Prague, Czech Republic",50.0874654,14.4212535
"Brahe, Tycho, 1546-1601","Benátky nad Jizerou, Central Bohemia, Czech Republic",50.291767,14.8260014
"Brengger, Johann Georg, 1559-1637 or after","Kaufbeuren, Bavaria, Germany",47.8803788,10.622246
"Briggs, Henry, 1561-1631","Oxford, Oxfordshire, England",51.7520131,-1.2578499
"Bruce, Edmund, fl. 1597-1605","Florence, Tuscany, Italy",43.7697955,11.2556404
"Brunn, Lukas, 1572-1628","Nuremberg, Bavaria, Germany",49.453872,11.077298
"Budovec z Budova, Václav, 1547-1621","Uherské Hradiště, Zlín, Czech Republic",49.0681018,17.4663899
"Burgermeister and Council, Weil der Stadt, fl. 1590-1591","Weil der Stadt, Baden-Württemberg, Germany",48.7501041,8.8707147
"Calvisius, Sethus, 1556-1615","Leipzig, Saxony, Germany",51.3406321,12.3747329
"Carosio, Matteo, fl. 1610","Paris, Île-de-France, France",48.8534951,2.3483915
"Casal, Peter, fl. 1606","Graz, Styria, Austria",47.0708678,15.4382786
"Caselius, Johannes, 1533-1613","Helmstedt, Lower Saxony, Germany",52.2277037,11.0104702
"Chamberates of Albrecht von Wallenstein, fl. 1630","Jičín, Královéhradecký kraj, Czech Republic",50.4370452,15.3516528
"Christmann, Jacob, 1554-1613","Heidelberg, Baden-Württemberg, Germany",49.4093582,8.694724
"Church Minister, Graz, fl. 1597","Graz, Styria, Austria",47.0708678,15.4382786
"Clutenius, Joachim, fl. 1628","Strasbourg, Grand Est, France",48.584614,7.7507127
"Coignet, Michiel, 1549-1623","Antwerp, Flanders, Belgium",51.2211097,4.3997081
"Court Council of War, Styria, fl. 1594","Graz, Styria, Austria",47.0708678,15.4382786
"Cristini, Bartolomeo, b.1547","Turin, Piedmont, Italy",45.0677551,7.6824892
"Crusius, Florian, fl. 1609-1650","Strasbourg, Grand Est, France",48.584614,7.7507127
"Crusius, Martin, 1526-1607","Tübingen, Baden-Württemberg, Germany",48.5203263,9.053596
"Crüger, Peter, 1580-1639","Gdańsk, Pomeranian Voivodeship, Poland",54.3482907,18.6540233
"Curtz, Albert, 1600-1671","Dillingen an der Donau, Bavaria, Germany",48.577185,10.4943532
"Cysat, Johann Baptist, 1587-1657","Ingolstadt, Bavaria, Germany, (Holy Roman Empire)",48.7630165,11.4250395
"Dasypodius, Conrad, 1532-1601","Strasbourg, Grand Est, France",48.584614,7.7507127
"De Cavalli, Marin, 1561-1611","Prague, Czech Republic",50.0874654,14.4212535
"Decker, Joannes, fl. 1605","Olomouc, Moravia, Czech Republic",49.5940567,17.251143
"Dietrichstein, Ludwig von, 1533-1615","Graz, Styria, Austria",47.0708678,15.4382786
"Diodati, Elia, 1576-1661","Geneva, Geneva, Switzerland",46.2017559,6.1466014
"Donauer, Christoph, 1564-1611","Regensburg, Bavaria, Germany",49.0195333,12.0974869
"Dornau, Caspar, 1577-1631","Görlitz, Saxony, Germany",51.1563185,14.991018
"Eckebrecht, Phillip, 1594-1667","Nuremberg, Bavaria, Germany",49.453872,11.077298
"Eichler, Gregor, 1562-1611","Görlitz, Saxony, Germany",51.1563185,14.991018
"Enenkel, Job Hartmann von, 1576-1627","Vienna, Wien, Austria",48.1857192,16.4221587
"Ens, Caspar, 1570-1650","Cologne, North Rhine-Westphalia, Germany",50.938361,6.959974
"Eriksen, Johannes, fl. 1599-1601","Prague, Czech Republic",50.0874654,14.4212535
"Esslingen, City Council of, fl. 1627","Esslingen, Baden-Württemberg, Germany",48.7427584,9.3071685
"Faber, Sebastian, 1564-1625","Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)",48.7784485,9.1800132
"Fabricius, David, 1564-1617","Osteel, Lower Saxony, Germany",53.5336832,7.2642003
"Fabricius, Johannes, 1587-1616","Wittenberg, Saxony-Anhalt, Germany",51.8666527,12.646761
"Faculty of Theological , University of Tübingen, fl. 1594","Tübingen, Baden-Württemberg, Germany",48.5203263,9.053596
"Falco, Johannes, 1599-1634","Tübingen, Baden-Württemberg, Germany",48.5203263,9.053596
"Fersius, Johannes, fl. 1607-1608","Dresden, Saxony, Germany",51.0493286,13.7381437
"Fickler, Johann Baptist, 1533-1610","Munich, Bavaria, Germany",48.1371079,11.5753822
"Forst, Detlef, fl. 1608","Neumünster, Schleswig-Holstein, Germany",54.0703296,9.9884451
"Freher, Marquard Friedrich, 1565-1614","Frankfurt am Main, Hesse, Germany",50.1106444,8.6820917
"Fugger, Georg, fl. 1610","Venice, Veneto, Italy",45.4046171,12.3105232
"Galilei, Galileo, 1564-1642","Padua, Veneto, Italy",45.3984428,11.8956829
"Gassendi, Pierre, 1592-1655","Paris, Île-de-France, France",48.8534951,2.3483915
"Gehler, Michael, fl. 1600-1620","Soběslav, Jihočeský, Czech Republic",49.259407,14.7193304
"Gerhard, Johann Konrad, b.1567","Donauwörth, Bavaria, Germany",48.7180364,10.7807299
"Gerlach, Stephan, 1546-1612","Tübingen, Baden-Württemberg, Germany",48.5203263,9.053596
"Griessel, Heinrich von, fl. 1630","Friedland, Lower Saxony, Germany",51.4205494,9.9142574
"Gringallet, Janus, 1591-1622","Linz, Upper Austria, Austria",48.3059078,14.286198
"Grüninger, Erasmus, 1566-1631","Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)",48.7784485,9.1800132
"Guldin, Paul, 1577-1643","Vienna, Wien, Austria",48.1857192,16.4221587
"Gunter, Edmund, 1581-1626","London, England, United Kingdom",51.5074456,-0.1277653
"Gödelmann, Johann Georg, 1559-1611","Dresden, Saxony, Germany",51.0493286,13.7381437
"Hafenreffer, Matthias, 1561-1619","Tübingen, Baden-Württemberg, Germany",48.5203263,9.053596
"Hafenreffer, Samuel, 1587-1660","Tübingen, Baden-Württemberg, Germany",48.5203263,9.053596
"Hagenloch, Anselm, fl. 1604","Regensburg, Bavaria, Germany",49.0195333,12.0974869
"Hannke, Valentin, fl. 1610","Grodków, Opole Voivodeship, Poland",50.698157,17.3849804
"Harriot, Thomas, 1560-1621","London, England, United Kingdom",51.5074456,-0.1277653
"Hasdale, Martin, fl. 1610","Prague, Czech Republic",50.0874654,14.4212535
"Hebenstreit, Georg, fl. 1620","Esslingen, Baden-Württemberg, Germany",48.7427584,9.3071685
"Hebenstreit, Johann Baptist, 1580-1638","Ulm, Baden-Württemberg, Germany",48.3984968,9.9912458
"Heck, Johannes, 1579-1616 or after","Rome, Latium, Italy",41.8933203,12.4829321
"Herwart von Hohenburg, Hans Georg, 1553-1622","Munich, Bavaria, Germany",48.1371079,11.5753822
"Hessen-Butzbach, Philipp III von, 1581-1643","Butzbach, Hesse, Germany, (Holy Roman Empire)",50.41768,8.63873
"Heydon, Christopher (Sir), 1561-1623","London, England, United Kingdom",51.5074456,-0.1277653
"Hochkircher, Christoph von, fl. 1624","Vienna, Wien, Austria",48.1857192,16.4221587
"Hochmann, Johann, 1528-1603","Tübingen, Baden-Württemberg, Germany",48.5203263,9.053596
"Hoffmann, Johannes Fridericus, fl. 1600","Prague, Czech Republic",50.0874654,14.4212535
"Hoffmann, Peter, fl. 1615","Prague, Czech Republic",50.0874654,14.4212535
"Hohenfelder, Ludwig von, 1576-1644","Schloss Weidenholz, Weidenholz, Upper Austria, Austria",48.3331132,13.8532739
"Homelius, Johannes, d.1600","Marburg, Hesse, Germany",50.8090106,8.7704695
"Horký, Martin, fl. 1610","Bologna, Emilia-Romagna, Italy",44.4938203,11.3426327
"Horst, Gregor, 1578-1636","Giessen, Hesse, Germany",50.5862066,8.6742306
"Höritzer von Steinbach, Hans Wolf, fl. 1625","Vienna, Wien, Austria",48.1857192,16.4221587
"Jessen, Johannes, 1566-1621","Panenské Břežany, Central Bohemia",50.2136597,14.4405574
"Jöstel, Melchior, 1559-1611","Wittenberg, Saxony-Anhalt, Germany",51.8666527,12.646761
"Jörger von Tollet, Helmhard, 1572-1631","Linz, Upper Austria, Austria",48.3059078,14.286198
"Kepler, Barbara, 1572-1611","Prague, Czech Republic",50.0874654,14.4212535
"Kepler, Johannes, 1571-1630","Prague, Czech Republic",50.0874654,14.4212535
"Kepler, Sebald, fl. 1530-1593","Weil der Stadt, Baden-Württemberg, Germany",48.7501041,8.8707147
"Krabbe, Johannes, 1553-1616","Wolfenbüttel, Lower Saxony, Germany",52.1625283,10.5348215
"Krupsky, Jakob, fl. until 1630","Prague, Czech Republic",50.0874654,14.4212535
"Krzistanowicz, Stanisław, fl. 1605","Mainz, Rhineland-Palatinate, Germany",49.9995205,8.2736253
"Köllin, Matthias, 1570-1612","Blaubeuren Abbey, Blaubeuren, Baden-Württemberg, Germany",48.4121233,9.7847091
"Lansius, S., fl. 1631","Regensburg, Bavaria, Germany",49.0195333,12.0974869
"Lansius, Thomas, 1577-1657","Tübingen, Baden-Württemberg, Germany",48.5203263,9.053596
"Lantz, Johann, 1564-1638","Munich, Bavaria, Germany",48.1371079,11.5753822
"Lebzelter, Friedrich, fl. 1628","Prague, Czech Republic",50.0874654,14.4212535
"Lehner, Johannes, fl. 1619","Steyr, Upper Austria, Austria",48.0390046,14.4191276
"Leibfrid, Christoph, 1566-1635","Tübingen, Baden-Württemberg, Germany",48.5203263,9.053596
"Leonberg, Senate of","Leonberg, Baden-Württemberg, Germany",48.8012983,9.0150026
"Leyser, Polycarp, 1586-1633","Dresden, Saxony, Germany",51.0493286,13.7381437
"Limnäus, Georg, 1554-1611","Jena, Thuringia, Germany",50.9281717,11.5879359
"Longomontanus, Christian Sørensen, 1562-1647","Prague, Czech Republic",50.0874654,14.4212535
"Lorenz, Regina, 1590-1617","Pfaffenhofen an der Ilm, Bavaria, Germany",48.5296743,11.5084954
"Lotter, Tobias, 1568-1631","Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)",48.7784485,9.1800132
"Maelcote, Oddo van, 1572-1615","Brussels, Brussels Capital Region, Belgium",50.8467372,4.352493
"Magini, Giovanni Antonio, 1555-1617","Bologna, Emilia-Romagna, Italy",44.4938203,11.3426327
"Marius, Simon, 1570-1624","Ansbach, Bavaria, Germany",49.2888745,10.5597693
"Marne, Claude, d.1610","Frankfurt am Main, Hesse, Germany",50.1106444,8.6820917
"Martinius, Aegidius, fl. 1603","Antwerp, Flanders, Belgium",51.2211097,4.3997081
