Place,Latitude,Longitude
"Altdorf, Bavaria, Germany",48.5621964,12.0859345
"Altdöbern, Brandenburg, Germany",51.6511561,14.0342532
"Amsterdam, North Holland, (United Provinces) Netherlands",52.3730796,4.8924534
"Ansbach, Bavaria, Germany",49.2888745,10.5597693
"Antwerp, Flanders, Belgium",51.2211097,4.3997081
"Augsburg, Bavaria, Germany",48.3690341,10.8979522
"Aurich, Lower Saxony, Germany",53.5094623,7.3583406
"Bad Cannstatt, Baden-Württemberg, Germany",48.8048828,9.2146797
"Bad Teinach-Zavelstein, Baden-Württemberg, Germany",48.6960311,8.6779546
"Baierdorf bei Anger, Styria, Austria",47.2850667,15.7110617
"Bellosguardo , Florence, Tuscany, Italy",43.9593626,11.210085
"Benátky nad Jizerou, Central Bohemia, Czech Republic",50.291767,14.8260014
"Berlin, Berlin, Germany",52.503379,13.3386522
"Blaubeuren Abbey, Blaubeuren, Baden-Württemberg, Germany",48.4121233,9.7847091
"Bologna, Emilia-Romagna, Italy",44.4938203,11.3426327
"Bremen, Bremen, Germany",53.0758196,8.8071646
"Brno, South Moravia, Czech Republic",49.1922443,16.6113382
"Brtnice, Vysočina, Czech Republic",49.3068037,15.6766872
"Bruck an der Mur, Styria, Austria",47.4121987,15.2721668
"Brussels, Brussels Capital Region, Belgium",50.8467372,4.352493
"Burgstein, Baden-Württemberg, Germany",48.4283109,9.2657297
"Butzbach, Hesse, Germany, (Holy Roman Empire)",50.41768,8.63873
"Bytom, Silesian Voivodeship, Poland",50.3652854,18.8722567
"Calw, Baden-Württemberg, Germany",48.7142691,8.7397624
"Castle Leombach, Leombach, Upper Austria, Austria",48.1598261,14.0758845
"Castle Rastenberg, Rastenfeld, Lower Austria, Austria",48.5584726,15.3235622
"Cologne, North Rhine-Westphalia, Germany",50.938361,6.959974
"Copenhagen, Capital Region, Denmark",55.6867243,12.5700724
"Crossen an der Elster, Thuringia, Germany",50.9772092,11.9863951
"Deventer, Overijssel, Netherlands",52.2694897,6.2364886
"Dillingen an der Donau, Bavaria, Germany",48.577185,10.4943532
"Donauwörth, Bavaria, Germany",48.7180364,10.7807299
"Dresden, Saxony, Germany",51.0493286,13.7381437
"Dębno, West Pomerania, Poland",52.7396681,14.7014522
"Eferding, Upper Austria, Austria",48.3082607,14.0203999
"Esens, Lower Saxony, Germany",53.6468107,7.6118499
"Esslingen, Baden-Württemberg, Germany",48.7427584,9.3071685
"Florence, Tuscany, Italy",43.7697955,11.2556404
France,46.603354,1.8883335
"Frankfurt (Oder), Brandenburg, Germany",52.3412273,14.549452
"Frankfurt am Main, Hesse, Germany",50.1106444,8.6820917
"Freiburg, Baden-Württemberg, Germany",47.9960901,7.8494005
"Friedland, Lower Saxony, Germany",51.4205494,9.9142574
"Gdańsk, Pomeranian Voivodeship, Poland",54.3482907,18.6540233
"Geneva, Geneva, Switzerland",46.2017559,6.1466014
"Giessen, Hesse, Germany",50.5862066,8.6742306
Girsitz,50.253211,14.8409386
"Graz, Styria, Austria",47.0708678,15.4382786
"Grodków, Opole Voivodeship, Poland",50.698157,17.3849804
"Göppingen, Baden-Württemberg, Germany",48.7031377,9.6541116
"Görlitz, Saxony, Germany",51.1563185,14.991018
"Güglingen, Baden-Württemberg, Germany",49.0668087,8.9999838
"Güstrow, Mecklenburg-Vorpommern, Germany",53.793587,12.1764906
"Haguenau, Grand Est, France",48.8387397,7.8318155
"Halberstadt, Saxony-Anhalt, Germany",51.8953514,11.0520563
"Heidelberg, Baden-Württemberg, Germany",49.4093582,8.694724
"Helmstedt, Lower Saxony, Germany",52.2277037,11.0104702
"Hirsau, Baden-Württemberg, Germany",48.734346,8.7352364
"Hirschbach, Lower Austria, Austria",48.7432195,15.1257542
"Horn, (West Frisia) Limburg, Netherlands",51.2077989,5.9461436
"Hrastnik, Hrastnik, Slovenia",46.1456196,15.0817358
"Ingolstadt, Bavaria, Germany, (Holy Roman Empire)",48.7630165,11.4250395
"Innsbruck, Tyrol, Austria, (Holy Roman Empire)",47.2654296,11.3927685
"Jena, Thuringia, Germany",50.9281717,11.5879359
"Jičín, Královéhradecký kraj, Czech Republic",50.4370452,15.3516528
"Kaliningrad [Königsberg], Kaliningrad Oblast, Russia [Prussia]",54.7046485,20.4565666
"Kaufbeuren, Bavaria, Germany",47.8803788,10.622246
"Leiden, South Holland, Netherlands",52.1594747,4.4908843
"Leipzig, Saxony, Germany",51.3406321,12.3747329
"Leonberg, Baden-Württemberg, Germany",48.8012983,9.0150026
"Leuven, Flemish Brabant, Belgium",50.879202,4.7011675
"Linz, Upper Austria, Austria",48.3059078,14.286198
"Lochovice, Central Bohemia , Czech Republic",49.8422832,13.9665265
"London, England, United Kingdom",51.5074456,-0.1277653
"Loschberg, Waldhausen, Lower Austria, Austria",48.5300873,15.2799777
"Lubań, Lower Silesia, Poland",51.1147105,15.2811574
"Magdeburg, Saxony-Anhalt, Germany",52.1314783,11.6400789
"Mainz, Rhineland-Palatinate, Germany",49.9995205,8.2736253
"Marburg, Hesse, Germany",50.8090106,8.7704695
"Milan, Lombardy, Italy",45.4641943,9.1896346
"Mnichovo Hradiště, Central Bohemia, Czech Republic",50.5229864,14.9741022
"Munich, Bavaria, Germany",48.1371079,11.5753822
"Mähringen, Baden-Württemberg, Germany",48.436836,9.9404851
"Möllbrücke, Carinthia, Austria",46.8370716,13.3704357
"Neuburg an der Donau, Bavaria, Germany",48.745628,11.1879622
"Neumünster, Schleswig-Holstein, Germany",54.0703296,9.9884451
"Nový Jáchymov, Central Bohemia, Czech Republic",49.9837884,13.9359785
"Nuremberg, Bavaria, Germany",49.453872,11.077298
"Nürtingen, Baden-Württemberg, Germany",48.6265854,9.3365463
"Olomouc, Moravia, Czech Republic",49.5940567,17.251143
"Osteel, Lower Saxony, Germany",53.5336832,7.2642003
"Oxford, Oxfordshire, England",51.7520131,-1.2578499
"Padua, Veneto, Italy",45.3984428,11.8956829
